commit,package,additions,deletions,LOC,change
c1a3ce0ee108d865beaa765bd169fa9b463135a2,org.apache.tika.detect,109,0,3832,109
b2821d921ac4cfd3be468e8bea9123f5cb627cbf,org.apache.tika.detect,20,5,3847,15
de6dbd0a7fbb2e24c357020e51f28d21c2ad2ebf,org.apache.tika.detect,20,5,3862,15
e780d56652d48dd0f50b4e62a58153e95f055022,org.apache.tika.detect,129,5,3986,124
d6981ad81334eb20174004d7c0d96acd9f1d2f12,org.apache.tika.detect,11,0,3997,11
fe559b80bcad1f107904ca7a89724a26ea2921a1,org.apache.tika.detect,140,5,4132,135
bf12e5ac576c5766999083b4e6fe6070ccf9daef,org.apache.tika.detect,7,9,4130,-2
84a37209e1c6e27491c9e828799919bc32f8787e,org.apache.tika.detect,2,2,4130,0
836e2d9040bacd7a8ffe88095187aa28ff26c6ba,org.apache.tika.detect,19,3,4146,16
6d022be03b5423f6c036e1aa45e4ce02a9678462,org.apache.tika.detect,217,8,4355,209
e7a0c3eece98ac81b3813aeb429b24f16090201c,org.apache.tika.detect,9,3,4361,6
75eea6e5502f4f5a2edf5ab459b4c369d33f66e5,org.apache.tika.detect,10,0,4371,10
a194bc4ba2b771807e93e664245f24e3573a15df,org.apache.tika.detect,5,0,4376,5
d77fb59a54b40d1f850a89053bebd87409b2b05c,org.apache.tika.detect,5,0,4381,5
70d2455c4ff7c54afe6762d5b50653b8de06f2b2,org.apache.tika.detect,15,0,4396,15
e56e2b2915e8cebcf97c69cdcb3ecff861434f61,org.apache.tika.detect,390,11,4775,379
6b174ecbb70d1236bdb9886f86bf94f51d3dd881,org.apache.tika.detect,15,0,4790,15
83f1afae3db65af966b13e6cc6dae3872aef630f,org.apache.tika.detect,48,0,4838,48
7dd38d5500c539328e2b0a083e1998a28e680539,org.apache.tika.detect,48,0,4886,48
0d92bc862c3c344d65d3f6c260b0f5ea4c389fc0,org.apache.tika.detect,2,0,4888,2
b5f5403fb150f2a290fe1cfa10a6fe572b1dd50a,org.apache.tika.detect,2,0,4890,2
10a8eec119c7a77be76000b30aaffb96a552cc44,org.apache.tika.detect,9,6,4893,3
e6e3b8817053e981f3843f1d3b7055b4ae30ed73,org.apache.tika.detect,9,6,4896,3
4b38d6228f4ba5ee912735dc692275499bbf45f6,org.apache.tika.detect,45,16,4925,29
64bb30844e0caafff1c9ebac7c8b0c5b512ea81e,org.apache.tika.detect,9,1,4933,8
e24e6afb1c2a37be266839767115ad6adc5f8dcf,org.apache.tika.detect,4,6,4931,-2
7a69da1ba6b07fed00dbbf0ce7b822c3fb77a381,org.apache.tika.detect,15,0,4946,15
b10c24dc8283401c9ef93b3a8535880ebfb30e6f,org.apache.tika.detect,2,1,4947,1
e7b481dd763ff4f586a94b981281923e4604010a,org.apache.tika.detect,17,1,4963,16
01c53eaa6d709972b03735574aa58dc0abcdc51c,org.apache.tika.detect,3,4,4962,-1
d6eb8b9fbf6eb6f1198c5b6f54931b065519bf79,org.apache.tika.detect,18,2,4978,16
02560a13408de42c960bab2807d8baec8ba2ab08,org.apache.tika.detect,18,2,4994,16
c797a83db923ceb01c9703f4a8a935c231eb9bd7,org.apache.tika.detect,5,9,4990,-4
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,org.apache.tika.detect,5,9,4986,-4
b1adfb9c67e6321264f4451af822f999081fc326,org.apache.tika.detect,19,1,5004,18
7175b9027fb4c8566822c57b428363bc35893d74,org.apache.tika.detect,9,2,5011,7
c89fc0c95937b71e9c1a1b5905f34e0dc1cb650f,org.apache.tika.detect,46,3,5054,43
9cb838227a020744e27c0b5adbbd1652c8f2dda1,org.apache.tika.detect,9,0,5063,9
b329820804bb74cc290337041eee595395e77435,org.apache.tika.detect,3,1,5065,2
f52838fd0c88c4c843c2cd778fd32ea7184bc902,org.apache.tika.detect,7,0,5072,7
62fe4ada48f961ec49a41f6b67f28a64681c9b93,org.apache.tika.detect,3,3,5072,0
f9104d17ad0b92b243501fdf0863b4ccdaa5e791,org.apache.tika.detect,3290,574,7788,2716
e538494a43851af54807e4e55817fe742420adcf,org.apache.tika.detect,1,1,7788,0
7af5657b7054082e40e2ab6c894c5f5357c698b9,org.apache.tika.detect,1,1,7788,0
d4a39b4873d939553e0742487b8c84f072497c1f,org.apache.tika.detect,48,0,7836,48
0c4c24dafe28c5cebb03f3946a3cfaf3c2cd04f4,org.apache.tika.detect,2,5,7833,-3
f41fdd0d15e196ef04b4e833cb0a498d51bd9bfd,org.apache.tika.detect,2,10,7825,-8
ee8caf69456bd52d278283792dc1b9c56477c243,org.apache.tika.detect,310,0,8135,310
f0df1f50a801a1816e1cc2fc1cf7a686a86f4dbb,org.apache.tika.detect,2,2,8135,0
faad4c316634880df054dc6178e18f172a132d4e,org.apache.tika.detect,1,2,8134,-1
37f0559c28dd485557f5d66e9c0fe6cb6123b225,org.apache.tika.detect,1,2,8133,-1
d27f148ef720559f17bdd16be456de904159ce7e,org.apache.tika.detect,13,1,8145,12
8dfee9ecff0ad4f01555abdae82d5e5e8e5c8690,org.apache.tika.detect,3,6,8142,-3
49bd7d574143fde300151f70319d9cc25559e66d,org.apache.tika.detect,3,6,8139,-3
673e665312c79534b32b05122e31a61dd2c5e7d4,org.apache.tika.detect,2,22,8119,-20
372ccd23e6399de9b5d9d93906645e1e4349ec99,org.apache.tika.detect,1,3,8117,-2
6401ca084ac9409bf6b6c94b2fa4ff293e427133,org.apache.tika.detect,10,11,8116,-1
9ec102102119e6d398c53652e1a28c2c61600f5d,org.apache.tika.detect,4,4,8116,0
8dbb5736fa92b323e270e2075b42dce458a3abd6,org.apache.tika.detect,0,1238,6878,-1238
a43784b19f6b0955478dded71521b0491d21c90b,org.apache.tika.detect,1238,0,8116,1238
8b82b4c942c82f9cc2eb393e669227606b5f15fc,org.apache.tika.detect,83,4,8195,79
23eb15c03247372db6734f4da82ecc66b7b48072,org.apache.tika.example,126,0,126,126
979c7d8b7db9513f55d3cdcea6e50c8642964c73,org.apache.tika.example,64,0,190,64
